"team","season","rating","shots_outofbox","shots_sixyardbox","shots_penaltyarea","shots_openplay","shots_counter","shots_setpiece","shots_penaltytaken","shots_offtarget","shots_onpost","shots_ontarget","shots_blocked","shots_rightfoot","shots_leftfoot","shots_head","shots_other","goals_sixyardbox","goals_penaltyarea","goals_outofbox","goals_openplay","goals_counter","goals_setpiece","goals_penaltyscored","goals_own","goals_normal","goals_rightfoot","goals_leftfoot","goals_head","goals_other","shots_outofbox_home","shots_sixyardbox_home","shots_penaltyarea_home","shots_openplay_home","shots_counter_home","shots_setpiece_home","shots_penaltytaken_home","shots_offtarget_home","shots_onpost_home","shots_ontarget_home","shots_blocked_home","shots_rightfoot_home","shots_leftfoot_home","shots_head_home","shots_other_home","goals_sixyardbox_home","goals_penaltyarea_home","goals_outofbox_home","goals_openplay_home","goals_counter_home","goals_setpiece_home","goals_penaltyscored_home","goals_own_home","goals_normal_home","goals_rightfoot_home","goals_leftfoot_home","goals_head_home","goals_other_home","shots_outofbox_away","shots_sixyardbox_away","shots_penaltyarea_away","shots_openplay_away","shots_counter_away","shots_setpiece_away","shots_penaltytaken_away","shots_offtarget_away","shots_onpost_away","shots_ontarget_away","shots_blocked_away","shots_rightfoot_away","shots_leftfoot_away","shots_head_away","shots_other_away","goals_sixyardbox_away","goals_penaltyarea_away","goals_outofbox_away","goals_openplay_away","goals_counter_away","goals_setpiece_away","goals_penaltyscored_away","goals_own_away","goals_normal_away","goals_rightfoot_away","goals_leftfoot_away","goals_head_away","goals_other_away"
"Manchester City","2010-11","6.98","237","27","282","366","28","143","9","205","9","177","164","269","227","48","2","9","40","9","35","2","13","8","0","50","35","18","4","1","113","29","208","237","14","95","4","134","12","125","91","189","108","53","0","10","23","0","24","1","5","3","0","30","16","12","5","0","141","13","119","188","10","73","2","115","5","80","78","139","99","34","1","3","14","7","13","2","7","2","1","22","10","9","4","1"
"Tottenham","2010-11","6.98","341","34","282","419","27","203","8","268","11","191","198","323","247","85","2","9","30","14","33","3","12","5","1","48","18","24","10","1","128","12","166","199","13","86","8","110","6","106","90","156","127","23","0","4","24","5","15","2","9","7","0","26","21","9","3","0","131","12","100","175","7","61","0","110","3","73","60","146","61","36","0","4","11","3","13","1","4","0","3","18","7","6","5","0"
"Liverpool","2010-11","6.9","246","41","295","408","20","147","7","229","7","205","148","388","100","94","0","11","42","5","38","3","11","6","3","52","43","7","8","0","200","21","163","231","17","130","6","153","6","111","120","184","148","51","1","6","16","7","20","1","5","3","0","26","8","15","6","0","116","21","135","188","9","72","3","115","5","89","68","157","63","50","2","9","14","5","18","2","6","2","0","26","17","4","7","0"
"Fulham","2010-11","6.9","266","29","252","383","11","150","3","229","5","172","146","319","141","87","0","11","30","7","27","2","17","2","5","46","21","12","15","0","132","23","155","196","9","100","5","130","3","101","79","133","125","52","0","7","22","5","18","1","11","4","0","30","15","13","6","0","115","10","96","147","15","58","1","85","2","66","70","123","78","20","0","4","9","4","9","2","6","0","0","17","8","7","2","0"
"Bolton","2010-11","6.88","247","42","281","353","18","194","5","245","7","173","152","220","248","101","1","12","30","8","29","3","14","4","0","46","19","20","10","1","135","17","152","208","4","89","3","119","2","99","86","173","80","51","0","7","19","4","14","1","13","2","2","28","14","6","10","0","125","10","110","172","14","58","1","115","1","76","54","136","74","35","0","3","15","2","17","0","2","1","1","19","9","8","3","0"
"Sunderland","2010-11","6.83","268","24","240","366","26","135","5","245","9","154","133","316","136","78","2","8","29","5","28","2","8","4","1","38","22","12","7","1","101","36","161","190","10","93","5","119","4","107","72","151","77","70","0","14","22","4","20","1","14","5","2","35","20","10","10","0","115","19","126","157","9","94","0","115","4","72","73","87","123","49","1","5","8","3","11","2","3","0","0","16","4","7","4","1"
"Aston Villa","2010-11","6.82","194","47","265","320","22","158","6","214","16","165","127","251","138","117","0","13","26","6","28","4","9","4","1","41","22","10","13","0","99","23","152","172","8","92","2","119","9","82","73","143","68","63","0","6","12","6","15","2","5","2","0","22","11","7","6","0","117","15","133","181","8","72","4","107","3","92","66","185","45","35","0","2","17","3","15","0","4","3","1","19","17","4","1","0"
"Everton","2010-11","6.81","255","39","286","378","18","180","4","226","8","181","173","284","198","98","0","10","32","8","29","4","14","3","2","47","21","15","14","0","92","46","160","145","8","144","1","125","6","92","81","133","75","85","5","13","15","2","15","3","11","1","0","29","13","8","6","3","113","12","124","167","9","72","1","112","9","85","52","143","70","36","0","5","13","1","10","0","8","1","1","18","11","4","4","0"
"Wigan","2010-11","6.8","254","23","234","354","31","123","3","201","6","170","140","279","177","55","0","6","22","8","20","5","9","2","0","34","18","15","3","0","133","14","175","205","13","102","2","122","6","106","94","149","127","46","0","2","25","4","16","4","9","2","0","29","14","10","7","0","95","24","113","148","14","66","4","95","7","83","54","108","70","54","0","7","14","0","13","2","4","2","1","19","11","3","7","0"
"Newcastle United","2010-11","6.79","191","49","267","319","14","169","5","213","9","168","126","258","132","116","1","20","29","6","29","1","20","5","2","50","24","15","15","1","97","23","134","149","10","95","0","133","5","69","52","116","84","52","2","5","12","4","11","1","9","0","0","21","6","11","4","0","122","25","111","173","5","78","2","104","2","75","79","135","71","52","0","8","7","4","13","0","5","1","2","18","7","5","7","0"
"West Ham","2010-11","6.76","262","29","281","380","19","167","6","245","12","174","153","304","176","91","1","8","28","5","22","1","13","5","2","36","23","9","9","0","143","14","130","194","12","77","4","130","8","78","79","180","62","43","2","5","14","3","11","2","6","3","0","19","13","4","4","1","112","25","101","154","11","68","5","95","3","78","65","102","102","34","0","7","11","7","12","2","7","4","2","21","12","10","3","0"
"Stoke","2010-11","6.75","175","64","243","247","11","221","3","217","13","143","122","226","118","133","5","17","23","4","19","4","18","3","2","41","18","12","11","3","149","17","157","213","10","95","5","133","3","89","101","161","106","55","1","3","15","4","12","1","5","4","1","18","12","5","5","0","90","13","106","129","4","76","0","94","5","61","54","107","55","46","1","6","7","2","9","0","6","0","0","15","4","5","5","1"
"Blackburn","2010-11","6.74","163","43","247","256","13","182","2","212","8","135","106","200","142","108","3","12","23","7","22","1","18","1","1","41","16","17","9","0","139","13","138","207","16","65","2","116","4","104","70","156","99","35","0","2","13","4","11","3","3","2","0","17","10","8","1","0","130","16","124","182","8","77","3","122","6","84","64","135","95","40","0","5","17","3","16","0","7","2","3","23","15","5","5","0"
"Blackpool","2010-11","6.73","253","53","225","351","20","152","8","226","6","161","144","224","231","74","2","17","26","11","27","3","17","7","5","47","25","21","8","0","105","22","102","135","9","84","1","117","4","57","55","130","46","52","1","8","9","2","10","0","8","1","2","18","13","3","3","0","66","20","113","107","3","87","2","79","3","66","54","84","58","56","1","7","11","3","11","0","9","1","1","20","10","6","5","0"
"West Bromwich Albion","2010-11","6.7","284","41","272","403","22","166","6","264","11","184","149","294","206","97","0","14","33","6","35","3","11","4","5","49","27","16","10","0","154","25","148","221","14","89","3","142","5","100","85","159","111","57","0","9","16","3","19","3","4","2","2","26","12","11","5","0","83","12","77","105","13","53","1","76","5","64","32","100","35","36","1","7","10","1","8","1","8","1","2","17","8","3","7","0"
"Birmingham","2010-11","6.68","188","34","179","240","22","137","2","193","9","121","87","230","81","88","2","15","19","3","18","1","16","2","4","35","21","6","10","0","101","28","126","151","4","99","1","102","4","81","72","79","114","59","3","9","16","4","18","0","10","1","1","28","11","11","6","1","83","18","83","102","3","77","2","92","7","51","41","93","43","48","0","4","8","2","4","1","7","2","2","12","5","4","5","0"
